GeneID,60mins,180mins,360mins,720mins,1440mins
AT5G59920,9.296,10.253,1.693,4.207,6.411
AT5G08945,0,0,0,0,0
AT5G59930,0,0,0,0,0
AT5G59940,0.026,0.056,0.044,0.054,0.03
AT5G59950,18.14,30.241,50.197,62.158,53.144
AT5G59945,0,0,0,0,0
AT5G59960,15.024,8.148,6.55,10.248,15.438
AT5G59970,24.998,17.215,7.231,11.996,9.259
AT5G59980,0.939,1.034,2.14,5.475,6.313
AT5G59990,1.424,0.548,0.728,2.478,0.522
AT5G60000,0,0,0,0,0
AT5G60010,0,0,0,0,0
AT5G60022,0.111,0.06,0.048,0.036,0.032
AT5G60020,5.512,4.646,4.301,3.86,4.671
AT5G60030,7.575,15.938,13.117,18.971,20.748
AT5G60040,1.147,1.014,0.659,0.918,1.962
AT5G60050,3.446,5.772,5.651,5.934,5.38
AT5G08950,0,0,0,0,0
AT5G60060,0,0,0,0,0
AT5G60070,0,0,0,0.008,0
AT5G60080,0,0,0,0,0
AT5G60090,0,0,0,0,0.009
AT5G60100,0.06,0.503,12.913,20.368,14.711
AT5G60110,0,0,0,0,0.01
AT5G60120,3.601,7.209,7.666,4.533,5.697
AT5G60130,0.234,0.194,0,0.058,0.02
AT5G60140,0.01,0,0,0,0.01
AT5G60142,0.619,0.692,0.564,0.412,0.479
AT5G60150,0.326,0.206,0.166,0.278,0.168
AT5G60160,18.244,17.04,16.445,17.309,24.564
AT5G60170,30.803,24.647,20.274,26.517,28.865
AT5G60180,0.37,0.079,0.121,0.014,0.204
AT5G60190,2.385,2.232,2.908,4.165,5.159
AT5G60200,6.458,4.992,3.423,2.769,3.899
AT5G60210,2.117,2.672,3.94,2.375,1.883
AT5G60215,0,0,0,0,0
AT5G60220,0.287,0.221,0.152,0.243,0.224
AT5G60230,1.456,0.93,0.553,0.398,1.091
AT5G60240,0,0,0,0,0
AT5G60250,0.108,0.092,0.074,0.086,0.192
AT5G60260,0,0,0,0,0
AT5G60265,0.03,0,0,0,0
AT5G60270,3.612,6.197,0.903,2.248,1.806
AT5G60280,1.168,0.588,0.635,0.929,0.924
AT5G60285,0.169,0,0,0,0.122
AT5G60290,2.471,3.156,2.742,3.338,3.242
AT5G60300,2.854,2.49,2.031,1.881,2.116
AT5G60310,0.052,0.054,0.026,0.031,0.027
AT5G60320,0,0,0,0,0
AT5G60335,0.764,0.858,0.796,0.661,2.479
AT5G60340,29.64,28.319,28.932,33.274,42.552
AT5G60350,0,0,0,0,0.008
AT5G60360,284.214,210.796,194.762,128.183,198.711
AT5G60370,6.444,5.249,4.073,4.851,5.654
AT5G60380,0,0,0,0,0
AT5G60390,362.64,371.791,352.428,498.995,677.008
AT5G60400,6.41,9.899,6.41,3.989,3.787
AT5G60410,24.545,21.223,21.758,23.874,21.738
AT5G60430,1.647,1.974,1.47,1.934,3.8
AT5G60440,0.206,0.174,0.138,0.267,0.584
AT5G60450,11.788,9.365,9.738,11.794,14.516
AT5G60460,3.328,2.212,2.884,4.273,3.807
AT5G60470,0.138,0.34,0.397,0.36,0.045
AT5G60480,0,0,0,0,0
AT5G60490,1.704,1.169,0.626,0.314,0.24
AT5G60500,0,0,0,0,0
AT5G60510,0.011,0,0,0.014,0
AT5G60520,0,0,0,0,0
AT5G60530,0.032,0.054,0.055,0.01,0.015
AT5G60540,18.956,21.42,37.803,41.026,41.636
AT5G60550,14.357,18.526,25.297,25.738,21.648
AT5G60553,0,0,0,0,0
AT5G60560,0,0,0,0,0
AT5G08955,0,0,0,0,0
AT5G60570,17.043,15.005,15.474,15.226,14.448
AT5G60580,4.867,3.851,3.964,3.539,4.819
AT5G60590,4.441,5.122,3.642,4.717,5.256
AT5G60600,190.931,182.794,184.728,173.868,163.427
AT5G60610,0.238,0.256,0.236,0.176,0.284
AT5G60615,0,0,0,0,0.014
AT5G60620,19.529,17.438,19.601,22.209,28.753
AT5G60630,0.072,0,0.14,0.059,0.166
AT5G08960,0,0,0,0,0
AT5G60640,29.176,27.839,32.422,39.936,45.635
AT5G60650,2.147,1.717,0.298,0.265,0.249
AT5G60660,2.103,1.395,1.325,1.265,0.667
AT5G08965,0,0,0,0,0
AT5G60670,28.72,27.232,19.641,30.903,55.639
AT5G60680,33.923,75.721,179.974,78.436,73.573
AT5G60690,9.548,6.339,4.92,4.53,5.305
AT5G60700,3.844,3.147,4.679,4.877,3.979
AT5G60710,7.503,21.715,16.623,15.277,10.468
AT5G08970,0,0,0,0,0
AT5G60720,1.249,1.28,1.358,1.193,0.96
AT5G60730,0.214,0.27,0.136,0.382,1.034
AT5G60740,0,0,0,0,0
AT5G60750,17.082,13.268,13.977,13.968,17.818
AT5G60760,0.093,0.267,0.959,0.639,0.122
AT5G60770,0,0,0,0,0
AT5G60780,0,0.076,0.038,0.132,0.012
AT5G60790,37.481,47.707,53.033,97.337,91.713
AT5G60800,6.402,2.982,1.483,0.612,0.768
AT5G60805,0,0,0,0,0
AT5G60810,0,0,0,0,0
AT5G60820,3.104,6.086,5.567,5.692,4.744
AT5G60830,0.047,0,0,0,0
AT5G60840,7.174,10.059,7.062,4.922,5.586
AT5G60850,16.783,52.956,38.446,18.36,23.082
AT5G08975,0.045,0,0,0.024,0.06
AT5G60860,4.343,9.207,10.287,8.528,5.708
AT5G08980,0,0,0,0,0
AT5G60870,2,1.462,0.881,1.672,2.963
AT5G60880,0.244,0.132,0.349,0.284,0.07
AT5G60890,20.694,4.937,1.33,1.087,4.585
AT5G60900,9.916,11.201,6.531,9.415,3.697
AT5G60910,1.05,1.467,3.159,1.924,4.162
AT5G60920,43.779,116.489,115.084,61.681,41.118
AT5G60930,1.627,1.212,0.914,1.002,0.794
AT5G60940,5.582,5.418,5.49,4.436,6.172
AT5G60945,0,0,0,0,0
AT5G60950,2.178,3.119,2.094,2.597,4.681
AT5G60960,12.575,12.088,11.557,16.084,20.827
AT5G60963,0,0,0,0,0
AT5G60964,0,0,0,0,0
AT5G60966,0,0,0,0,0
AT5G60970,8.093,7.047,6.043,4.017,6.197
AT5G08985,0,0,0,0,0
AT5G60978,0,0,0,0,0
AT5G60980,12.546,11.133,8.63,11.058,16.11
AT5G60990,6.316,7.402,7.625,14.508,16.591
AT5G61000,3.602,2.014,1.152,2.104,4.426
AT5G61010,21.76,17.328,13.127,9.081,8.365
AT5G61020,25.068,25.035,26.191,57.416,80.72
AT5G61030,11.739,13.771,8.963,21.197,49.973
AT5G61040,3.851,5.099,6.996,6.434,5.724
AT5G61050,0,0,0,0,0
AT5G61060,13.602,11.575,10.035,7.15,10.733
AT5G61070,0.766,0.682,0.365,0.266,0.455
AT5G61090,0.104,0.128,0.104,0.117,0.064
AT5G61100,0.11,0.037,0.269,0.014,0.151
AT5G61110,0,0,0,0,0
AT5G61120,0.008,0,0.012,0,0.013
AT5G61130,77.153,62.829,29.05,17.889,40.761
AT5G61140,10.043,9.323,9.472,9.439,10.649
AT5G61150,21.416,19.386,16.275,17.94,20.864
AT5G61160,0.017,0.022,0,0.394,0.314
AT5G61170,71.731,90.356,75.189,121.281,195.851
AT5G61180,0.156,0.066,0.027,0.115,0.112
AT5G61190,3.278,2.571,2.282,3.122,4.761
AT5G61200,1.492,1.752,1.079,1.165,1.157
AT5G61210,33.802,44.169,59.419,67.129,49.118
AT5G08990,1.019,0.834,1.946,0.988,0.63
AT5G61220,8.711,8.931,8.371,9.478,14.507
AT5G61230,28.145,49.413,61.65,59.374,62.293
AT5G61240,23.519,27.52,34.425,31.93,25.188
AT5G61250,1.623,1.026,0.798,0.52,0.364
AT5G61260,0.392,0.46,0.33,0.336,0.174
AT5G61270,41.633,74.397,73.281,45.898,48.892
AT5G61280,0.726,1.464,1.556,0.964,1.459
AT5G61290,1.373,2.52,5.966,5.981,3.724
AT5G61300,1.991,1.832,1.787,1.292,1.978
AT5G61310,4.598,4.201,4.942,4.248,5.485
AT5G61320,0,0,0,0,0
AT5G61330,8.333,10.326,8.304,13.757,16.069
AT5G61340,3.431,4.433,10.637,8.865,6.975
AT5G61345,0,0,0,0,0
AT5G61350,3.33,4.819,5.391,1.931,2.38
AT5G61360,0.588,1.208,5.467,2.184,1.822
AT5G61370,1.011,1.27,13.94,16.48,7.421
AT5G61380,3.692,24.529,195.701,162.558,76.285
AT5G61390,1.861,2.865,3.801,4.14,3.212
AT5G61400,0.386,0.328,0.278,0.366,1.125
AT5G61410,570.519,547.802,518.06,506.661,505.64
AT5G61412,1.17,0.981,0.233,0.108,0.056
AT5G61420,58.348,46.421,33.966,25.636,31.03
AT5G08995,0,0,0,0,0
AT5G61430,0.11,0.28,0.35,0.48,0.257
