GeneID,60mins,240mins,480mins,720mins,1440mins,2160mins,3600mins
AT5G51570,18.31,18.099,18.815,17.736,16.064,17.574,23.071
AT5G51580,0.052,0.021,0.025,0.035,0,0.049,0.047
AT5G51585,0,0,0,0,0,0,0
AT5G51590,2.918,2.937,2.519,2.204,2.275,2.016,2.434
AT5G51600,3.417,3.641,3.311,2.741,2.022,1.663,1.208
AT5G51610,0.04,0.036,0,0.03,0.04,0,0
AT5G51620,15.643,15.639,14.817,13.501,14.499,15.415,17.409
AT5G51630,4.263,4.04,4.217,4.162,4.136,4.114,5.034
AT5G51640,6.302,5.333,5.63,5.229,5.695,5.058,6.3
AT5G51650,0,0,0,0,0,0,0
AT5G51660,7.871,7.202,7.256,6.68,6.187,6.431,6.531
AT5G51670,11.131,14.13,16.793,18.574,21.799,22.573,17.435
AT5G07745,1.451,1.324,1.225,2.432,6.264,7.002,6.302
AT5G51680,0,0,0,0,0,0,0
AT5G51690,5.678,6.169,6.12,6.062,7.158,7.512,8.427
AT5G51700,9.327,9.217,8.168,8.486,10.04,9.965,9.73
AT5G51710,8.399,8.367,8.947,7.568,6.152,6.556,6.808
AT5G51720,10.933,9.614,10.896,6.447,2.875,1.5,0.635
AT5G51730,10.748,10.854,10.229,8.739,10.84,11.003,11.806
AT5G07775,0,0,0,0,0,0,0
AT5G07785,0,0,0.09,0,0,0,0
AT5G51740,5.917,5.978,5.593,5.255,4.228,3.938,5.014
AT5G07795,0,0,0,0,0,0,0
AT5G51750,35.897,34.962,33.13,27.611,23.884,17.456,8.357
AT5G07805,0,0,0,0,0,0,0
AT5G51760,0.532,0.414,0.326,0.341,0.548,0.656,0.746
AT5G07815,0,0,0,0,0,0.068,0
AT5G51770,5.655,4.932,4.5,4.684,5.309,5.688,6.867
AT5G51780,39.981,54.938,58.775,59.603,49.45,59.801,60.093
AT5G51790,7.761,13.457,15.521,19.489,23.545,25.066,23.392
AT5G07825,0,0,0,0,0,0,0
AT5G51795,1.328,2.058,1.806,1.879,2.422,1.964,2.076
AT5G51800,0.152,0.188,0.109,0.152,0.183,0.146,0.112
AT5G51810,3.183,5.199,4.912,4.707,3.013,3.249,3.883
AT5G07835,0,0,0,0,0,0,0
AT5G07845,0,0.054,0,0,0,0,0
AT5G51820,44.41,39.538,41.221,36.513,24.809,15.326,7.165
AT5G51830,10.445,10.597,9.626,8.828,7.584,6.43,5.697
AT5G51840,10.264,9.854,9.66,9.091,7.88,6.606,8.586
AT5G51845,0,0,0,0,0,0,0
AT5G51850,1.167,1.08,0.958,0.995,1.483,1.361,1.566
AT5G51860,0,0,0,0,0,0,0
