"GeneID","X60mins","X180mins","X360mins","X720mins","X1440mins","X2880mins"
"403","AT1G04160",4.624,2.426,1.434,2.345,1.374,1.934
"404","AT1G04170",31.567,31.872,28.005,37.7,33.16,30.643
"405","AT1G04180",0.02,0.022,0.05,0.018,0,0.109
"406","AT1G04190",10.498,13.201,14.04,15.893,13.216,11.98
"407","AT1G04200",11.03,6.716,5.383,8.434,6.526,6.56
"408","AT1G04210",12.052,10.712,9.782,12.551,11.283,12.015
"409","AT1G04220",4.615,5.58,0.96,0.79,3.767,4.98
"410","AT1G04247",2.031,1.896,0.4,0.286,1.929,2.331
"411","AT1G04230",7.428,6.287,6.548,6.613,6.222,6.5
"412","AT1G04240",38.654,23.352,19.057,10.642,26.366,27.465
"413","AT1G04253",0,0,0,0,0,0.103
"414","AT1G04250",67.478,115.502,67.757,18.398,114.016,94.445
"415","AT1G04260",5.092,5.429,6.67,6.562,5.935,5.665
"416","AT1G04270",214.11,234.174,148.994,187.732,261.615,183.446
"417","AT1G04280",1.831,8.002,9.197,4.877,5.077,3.909
"418","AT1G04290",2.52,3.079,2.945,3.237,2.202,3.12
"419","AT1G04295",0,0,0,0,0,0
"420","AT1G04300",20.223,16.482,17.884,20.757,16.237,19.215
"421","AT1G04310",1.888,4.188,1.555,5.145,2.119,2.418
"422","AT1G04320",0,0,0,0,0,0
"423","AT1G04330",0.344,0.532,0.943,0.298,1.29,0.913
"424","AT1G04340",13.947,14.651,15.169,16.572,17.734,13.369
"425","AT1G04350",31.656,56.631,47.824,30.342,60.611,62.022
"426","AT1G04360",0.118,0.778,1.008,0.338,0.568,0.941
"427","AT1G04370",0.184,0.15,0,0.039,0,0
"428","AT1G04380",0.165,0.059,0.118,0.092,0.188,0.194
"429","AT1G04257",0.14,0,0,0,0,0
"430","AT1G04390",3.195,4.471,4.512,4.095,3.126,3.807
"431","AT1G04400",27.361,58.256,88.111,88.267,23.767,28.763
"432","AT1G04410",415.414,391.517,561.513,583.985,525.263,451.291
"433","AT1G04420",114.042,101.166,90.92,116.621,104.314,100.053
"434","AT1G04425",0.901,1.047,0.817,1.038,1.119,0.716
"435","AT1G04430",68.517,39.905,35.201,50.377,28.014,35.921
"436","AT1G04440",23.341,28.27,30.159,25.767,20.058,21.961
"437","AT1G04445",0.088,0.124,0.024,0,0.027,0
