Sample name	title	source name	organism	characteristics: Tissue	characteristics: Developmental Stage	characteristics: Ecotype	characteristics: Genotype	characteristics: Treatment	characteristics: Original series ID	characteristics: Replicate Group	molecule	label	platform
GSM265465	Reanalysis of GSM265465	"Arabidopsis, whole roots, -Fe, 6 hour, rep 1"	Arabidopsis thaliana	root	0.7	Col-0	wild type	abiotic stress	GSE10502	GSE10502_5	total RNA	biotin	GPL198
GSM265466	Reanalysis of GSM265466	"Arabidopsis, whole roots, -Fe, 6 hour, rep 2"	Arabidopsis thaliana	root	0.7	Col-0	wild type	abiotic stress	GSE10502	GSE10502_5	total RNA	biotin	GPL198
GSM265467	Reanalysis of GSM265467	"Arabidopsis, whole roots, -Fe, 12 hour, rep 1"	Arabidopsis thaliana	root	0.7	Col-0	wild type	abiotic stress	GSE10502	GSE10502_7	total RNA	biotin	GPL198
GSM265468	Reanalysis of GSM265468	"Arabidopsis, whole roots, -Fe, 12 hour, rep 2"	Arabidopsis thaliana	root	0.7	Col-0	wild type	abiotic stress	GSE10502	GSE10502_7	total RNA	biotin	GPL198
GSM265469	Reanalysis of GSM265469	"Arabidopsis, whole roots, -Fe, 24 hour, rep 1"	Arabidopsis thaliana	root	0.7	Col-0	wild type	abiotic stress	GSE10502	GSE10502_9	total RNA	biotin	GPL198
GSM265470	Reanalysis of GSM265470	"Arabidopsis, whole roots, -Fe, 24 hour, rep 2"	Arabidopsis thaliana	root	0.7	Col-0	wild type	abiotic stress	GSE10502	GSE10502_9	total RNA	biotin	GPL198
GSM265471	Reanalysis of GSM265471	"Arabidopsis, whole roots, -Fe, 48 hour, rep 1"	Arabidopsis thaliana	root	0.7	Col-0	wild type	abiotic stress	GSE10502	GSE10502_11	total RNA	biotin	GPL198
GSM265472	Reanalysis of GSM265472	"Arabidopsis, whole roots, -Fe, 48 hour, rep 2"	Arabidopsis thaliana	root	0.7	Col-0	wild type	abiotic stress	GSE10502	GSE10502_11	total RNA	biotin	GPL198
GSM265473	Reanalysis of GSM265473	"Arabidopsis, whole roots, -Fe, 72 hour, rep 1"	Arabidopsis thaliana	root	0.7	Col-0	wild type	abiotic stress	GSE10502	GSE10502_13	total RNA	biotin	GPL198
GSM265474	Reanalysis of GSM265474	"Arabidopsis, whole roots, -Fe, 72 hour, rep 2"	Arabidopsis thaliana	root	0.7	Col-0	wild type	abiotic stress	GSE10502	GSE10502_13	total RNA	biotin	GPL198
GSM268008	Reanalysis of GSM268008	"Col-0, Time 0, rep-A"	Arabidopsis thaliana	whole plant	6.1	Col-0	wild type	"mutant, abiotic"	GSE10646	GSE10646_1	total RNA	biotin	GPL198
GSM268009	Reanalysis of GSM268009	"Col-0, Time 0, rep-B"	Arabidopsis thaliana	whole plant	6.1	Col-0	wild type	"mutant, abiotic"	GSE10646	GSE10646_1	total RNA	biotin	GPL198
GSM268010	Reanalysis of GSM268010	"Col-0, Time 0, rep-C"	Arabidopsis thaliana	whole plant	6.1	Col-0	wild type	"mutant, abiotic"	GSE10646	GSE10646_1	total RNA	biotin	GPL198
GSM269475	Reanalysis of GSM269475	"Col-0, 24h after BTH, rep-A"	Arabidopsis thaliana	whole plant	6.1	Col-0	wild type	"mutant, abiotic"	GSE10646	GSE10646_4	total RNA	biotin	GPL198
GSM269477	Reanalysis of GSM269477	"Col-0, 24h after BTH, rep-B"	Arabidopsis thaliana	whole plant	6.1	Col-0	wild type	"mutant, abiotic"	GSE10646	GSE10646_4	total RNA	biotin	GPL198
GSM269478	Reanalysis of GSM269478	"Col-0, 24h after BTH, rep-C"	Arabidopsis thaliana	whole plant	6.1	Col-0	wild type	"mutant, abiotic"	GSE10646	GSE10646_4	total RNA	biotin	GPL198
GSM269482	Reanalysis of GSM269482	"mkk1, no-treatment, rep-A"	Arabidopsis thaliana	whole plant	6.1	Col-0	loss of function	"mutant, abiotic"	GSE10646	GSE10646_7	total RNA	biotin	GPL198
GSM269483	Reanalysis of GSM269483	"mkk1, no-treatment, rep-B"	Arabidopsis thaliana	whole plant	6.1	Col-0	loss of function	"mutant, abiotic"	GSE10646	GSE10646_7	total RNA	biotin	GPL198
GSM269484	Reanalysis of GSM269484	"mkk1, no-treatment, rep-C"	Arabidopsis thaliana	whole plant	6.1	Col-0	loss of function	"mutant, abiotic"	GSE10646	GSE10646_7	total RNA	biotin	GPL198
GSM269485	Reanalysis of GSM269485	"mkk1, 24h after BTH, rep-A"	Arabidopsis thaliana	whole plant	6.1	Col-0	loss of function	"mutant, abiotic"	GSE10646	GSE10646_10	total RNA	biotin	GPL198
GSM269486	Reanalysis of GSM269486	"mkk1, 24h after BTH, rep-B"	Arabidopsis thaliana	whole plant	6.1	Col-0	loss of function	"mutant, abiotic"	GSE10646	GSE10646_10	total RNA	biotin	GPL198
GSM269487	Reanalysis of GSM269487	"mkk1, 24h after BTH, rep-C"	Arabidopsis thaliana	whole plant	6.1	Col-0	loss of function	"mutant, abiotic"	GSE10646	GSE10646_10	total RNA	biotin	GPL198
GSM269488	Reanalysis of GSM269488	"mkk2, no-treatment, rep-A"	Arabidopsis thaliana	whole plant	6.1	Col-0	loss of function	"mutant, abiotic"	GSE10646	GSE10646_13	total RNA	biotin	GPL198
GSM269489	Reanalysis of GSM269489	"mkk2, no-treatment, rep-B"	Arabidopsis thaliana	whole plant	6.1	Col-0	loss of function	"mutant, abiotic"	GSE10646	GSE10646_13	total RNA	biotin	GPL198
GSM269490	Reanalysis of GSM269490	"mkk2, no-treatment, rep-C"	Arabidopsis thaliana	whole plant	6.1	Col-0	loss of function	"mutant, abiotic"	GSE10646	GSE10646_13	total RNA	biotin	GPL198
GSM269491	Reanalysis of GSM269491	"mkk2, 24h after BTH, rep-A"	Arabidopsis thaliana	whole plant	6.1	Col-0	loss of function	"mutant, abiotic"	GSE10646	GSE10646_16	total RNA	biotin	GPL198
GSM269492	Reanalysis of GSM269492	"mkk2, 24h after BTH, rep-B"	Arabidopsis thaliana	whole plant	6.1	Col-0	loss of function	"mutant, abiotic"	GSE10646	GSE10646_16	total RNA	biotin	GPL198
GSM269493	Reanalysis of GSM269493	"mkk2, 24h after BTH, rep-C"	Arabidopsis thaliana	whole plant	6.1	Col-0	loss of function	"mutant, abiotic"	GSE10646	GSE10646_16	total RNA	biotin	GPL198
GSM269494	Reanalysis of GSM269494	"mkk1/mkk2, no-treatment, rep-A"	Arabidopsis thaliana	whole plant	6.1	Col-0	loss of function	"mutant, abiotic"	GSE10646	GSE10646_19	total RNA	biotin	GPL198
GSM269495	Reanalysis of GSM269495	"mkk1/mkk2, no-treatment, rep-B"	Arabidopsis thaliana	whole plant	6.1	Col-0	loss of function	"mutant, abiotic"	GSE10646	GSE10646_19	total RNA	biotin	GPL198
GSM269496	Reanalysis of GSM269496	"mkk1/mkk2, no-treatment, rep-C"	Arabidopsis thaliana	whole plant	6.1	Col-0	loss of function	"mutant, abiotic"	GSE10646	GSE10646_19	total RNA	biotin	GPL198
GSM269497	Reanalysis of GSM269497	"mkk1/mkk2, 24h after BTH, rep-A"	Arabidopsis thaliana	whole plant	6.1	Col-0	loss of function	"mutant, abiotic"	GSE10646	GSE10646_22	total RNA	biotin	GPL198
GSM269498	Reanalysis of GSM269498	"mkk1/mkk2, 24h after BTH, rep-B"	Arabidopsis thaliana	whole plant	6.1	Col-0	loss of function	"mutant, abiotic"	GSE10646	GSE10646_22	total RNA	biotin	GPL198
GSM269499	Reanalysis of GSM269499	"mkk1/mkk2, 24h after BTH, rep-C"	Arabidopsis thaliana	whole plant	6.1	Col-0	loss of function	"mutant, abiotic"	GSE10646	GSE10646_22	total RNA	biotin	GPL198
GSM269813	Reanalysis of GSM269813	WT leaf-drought-rep1	Arabidopsis thaliana	leaf	6.9		wild type	"mutant, abiotic"	GSE10670	GSE10670_2	total RNA	biotin	GPL198
GSM269814	Reanalysis of GSM269814	T6 leaf-well watered-rep1	Arabidopsis thaliana	leaf	6.9		gain of function	"mutant, abiotic"	GSE10670	GSE10670_3	total RNA	biotin	GPL198
GSM269815	Reanalysis of GSM269815	T6 leaf-drought-rep1	Arabidopsis thaliana	leaf	6.9		gain of function	"mutant, abiotic"	GSE10670	GSE10670_4	total RNA	biotin	GPL198
GSM269816	Reanalysis of GSM269816	T8 leaf-well watered-rep1	Arabidopsis thaliana	leaf	6.9		gain of function	"mutant, abiotic"	GSE10670	GSE10670_5	total RNA	biotin	GPL198
GSM269817	Reanalysis of GSM269817	T8 leaf-drought-rep1	Arabidopsis thaliana	leaf	6.9		gain of function	"mutant, abiotic"	GSE10670	GSE10670_6	total RNA	biotin	GPL198
